utt 347_mix.wav: mix 1.7082, est 1.7661
utt 781_mix.wav: mix 1.7244, est 1.5877
utt 437_mix.wav: mix 1.1923, est 1.5616
utt 704_mix.wav: mix 1.7024, est 1.8841
utt 224_mix.wav: mix 1.7006, est 1.7047
utt 24_mix.wav: mix 1.1066, est 1.2818
utt 219_mix.wav: mix 1.3388, est 1.4784
utt 998_mix.wav: mix 1.0494, est 1.1017
utt 745_mix.wav: mix 1.0722, est 1.0966
utt 299_mix.wav: mix 1.1883, est 1.3182
utt 109_mix.wav: mix 1.7780, est 2.1155
utt 217_mix.wav: mix 1.7412, est 2.0834
utt 156_mix.wav: mix 1.3135, est 1.5634
utt 266_mix.wav: mix 1.4384, est 1.3338
utt 615_mix.wav: mix 1.1900, est 1.4522
utt 87_mix.wav: mix 1.3990, est 1.3797
utt 138_mix.wav: mix 1.7913, est 2.2007
utt 626_mix.wav: mix 1.7244, est 1.9181
utt 771_mix.wav: mix 1.5203, est 1.3019
utt 923_mix.wav: mix 1.6633, est 1.8137
utt 519_mix.wav: mix 1.4709, est 1.5141
utt 787_mix.wav: mix 1.1628, est 1.3201
utt 143_mix.wav: mix 1.1860, est 1.5586
utt 742_mix.wav: mix 2.1221, est 2.0004
utt 790_mix.wav: mix 1.5048, est 1.6977
utt 813_mix.wav: mix 1.0386, est 1.1240
utt 874_mix.wav: mix 1.0717, est 1.1597
utt 480_mix.wav: mix 1.0802, est 1.2146
utt 10_mix.wav: mix 2.3996, est 2.4151
utt 397_mix.wav: mix 1.6193, est 1.9616
utt 510_mix.wav: mix 1.3311, est 1.6963
utt 350_mix.wav: mix 1.2924, est 1.4269
utt 13_mix.wav: mix 1.0806, est 1.2152
utt 777_mix.wav: mix 1.2174, est 1.6663
utt 602_mix.wav: mix 1.1104, est 1.1615
utt 413_mix.wav: mix 1.1345, est 1.8371
utt 770_mix.wav: mix 1.1673, est 1.3928
utt 756_mix.wav: mix 2.1137, est 2.1807
utt 319_mix.wav: mix 1.1233, est 1.3288
utt 608_mix.wav: mix 1.0565, est 1.0576
utt 786_mix.wav: mix 1.5119, est 1.7626
utt 735_mix.wav: mix 2.2426, est 2.2527
utt 58_mix.wav: mix 1.3992, est 1.7270
utt 674_mix.wav: mix 1.1355, est 1.3003
utt 369_mix.wav: mix 1.3542, est 1.6209
utt 191_mix.wav: mix 1.4416, est 1.3746
utt 873_mix.wav: mix 1.3726, est 1.6056
utt 315_mix.wav: mix 1.4420, est 1.7073
utt 833_mix.wav: mix 1.1306, est 1.2517
utt 757_mix.wav: mix 1.2059, est 1.0487
utt 311_mix.wav: mix 1.3537, est 1.5833
utt 500_mix.wav: mix 1.1311, est 1.3325
utt 8_mix.wav: mix 1.1663, est 1.3509
utt 511_mix.wav: mix 1.0386, est 1.1584
utt 277_mix.wav: mix 1.0260, est 1.0619
utt 596_mix.wav: mix 1.1801, est 1.3660
utt 681_mix.wav: mix 1.6970, est 2.2197
utt 70_mix.wav: mix 1.2995, est 1.5743
utt 639_mix.wav: mix 1.4110, est 1.8006
utt 803_mix.wav: mix 1.0808, est 1.1808
utt 618_mix.wav: mix 1.1367, est 1.4647
utt 404_mix.wav: mix 1.1251, est 1.3998
utt 509_mix.wav: mix 1.5352, est 1.6469
utt 227_mix.wav: mix 4.6439, est 2.7047
utt 214_mix.wav: mix 1.9207, est 2.0648
utt 692_mix.wav: mix 1.3402, est 1.8674
utt 383_mix.wav: mix 1.4552, est 1.7831
utt 335_mix.wav: mix 1.3539, est 1.3526
utt 101_mix.wav: mix 1.0618, est 1.1712
utt 698_mix.wav: mix 1.2572, est 1.4606
utt 484_mix.wav: mix 1.0714, est 1.1336
utt 149_mix.wav: mix 1.1603, est 1.4351
utt 216_mix.wav: mix 1.1202, est 1.2304
utt 323_mix.wav: mix 1.0894, est 1.2217
utt 578_mix.wav: mix 1.7127, est 2.0108
utt 669_mix.wav: mix 1.5537, est 1.6221
utt 700_mix.wav: mix 3.6864, est 3.1760
utt 791_mix.wav: mix 1.1340, est 1.3196
utt 761_mix.wav: mix 1.2174, est 1.4596
utt 664_mix.wav: mix 1.0398, est 1.0686
utt 966_mix.wav: mix 1.2564, est 1.3686
utt 534_mix.wav: mix 1.5950, est 1.9528
utt 131_mix.wav: mix 2.3904, est 2.5265
utt 960_mix.wav: mix 1.5032, est 1.7975
utt 903_mix.wav: mix 1.1860, est 1.4927
utt 443_mix.wav: mix 1.7136, est 2.4862
utt 174_mix.wav: mix 2.0943, est 2.4660
utt 905_mix.wav: mix 1.4629, est 1.9982
utt 16_mix.wav: mix 1.1938, est 1.3918
utt 764_mix.wav: mix 1.2947, est 1.4223
utt 173_mix.wav: mix 1.9614, est 1.9184
utt 727_mix.wav: mix 1.1028, est 1.4954
utt 458_mix.wav: mix 1.6964, est 1.7928
utt 974_mix.wav: mix 1.0842, est 1.1232
utt 261_mix.wav: mix 1.0791, est 1.3777
utt 477_mix.wav: mix 1.1221, est 1.1619
utt 738_mix.wav: mix 1.1077, est 1.1792
utt 937_mix.wav: mix 1.0858, est 1.1142
utt 585_mix.wav: mix 1.6898, est 1.7737
utt 187_mix.wav: mix 1.0714, est 1.0881
utt 710_mix.wav: mix 1.0840, est 1.2704
utt 718_mix.wav: mix 1.2285, est 1.3488
utt 267_mix.wav: mix 1.0458, est 1.1254
utt 49_mix.wav: mix 1.3966, est 1.8868
utt 349_mix.wav: mix 1.6114, est 1.8005
utt 103_mix.wav: mix 1.5004, est 2.0617
utt 515_mix.wav: mix 1.1488, est 1.2664
utt 307_mix.wav: mix 1.2236, est 1.4120
utt 136_mix.wav: mix 1.2514, est 1.3990
utt 353_mix.wav: mix 1.8253, est 1.9492
utt 180_mix.wav: mix 2.0773, est 2.2477
utt 782_mix.wav: mix 1.0957, est 1.1203
utt 447_mix.wav: mix 2.1000, est 1.9036
utt 561_mix.wav: mix 1.4573, est 1.6591
utt 869_mix.wav: mix 1.8341, est 1.9136
utt 469_mix.wav: mix 1.1060, est 1.2104
utt 919_mix.wav: mix 1.4312, est 1.5541
utt 150_mix.wav: mix 1.4271, est 1.5073
utt 330_mix.wav: mix 1.0543, est 1.2852
utt 987_mix.wav: mix 1.1861, est 1.2786
utt 594_mix.wav: mix 1.5169, est 1.8160
utt 655_mix.wav: mix 1.5581, est 1.7709
utt 598_mix.wav: mix 1.0953, est 1.3604
utt 434_mix.wav: mix 1.6481, est 1.9006
utt 715_mix.wav: mix 1.0885, est 1.1166
utt 303_mix.wav: mix 1.1035, est 1.3848
utt 234_mix.wav: mix 1.1786, est 1.2826
utt 749_mix.wav: mix 1.3446, est 1.6663
utt 847_mix.wav: mix 1.0362, est 1.1235
utt 754_mix.wav: mix 1.1179, est 1.1553
utt 78_mix.wav: mix 1.2033, est 1.3231
utt 118_mix.wav: mix 1.3699, est 1.5408
utt 525_mix.wav: mix 1.1826, est 1.2690
utt 865_mix.wav: mix 4.6439, est 2.8894
utt 849_mix.wav: mix 1.9214, est 1.8513
utt 671_mix.wav: mix 1.7486, est 2.1816
utt 471_mix.wav: mix 1.1512, est 1.4433
utt 238_mix.wav: mix 1.7272, est 1.9734
utt 176_mix.wav: mix 1.0886, est 1.2221
utt 293_mix.wav: mix 1.3725, est 1.4715
utt 194_mix.wav: mix 1.7366, est 1.8540
utt 868_mix.wav: mix 1.1140, est 1.2887
utt 829_mix.wav: mix 2.4093, est 2.2087
utt 426_mix.wav: mix 4.6439, est 2.2791
utt 146_mix.wav: mix 1.2991, est 1.7791
utt 856_mix.wav: mix 1.3663, est 1.4056
utt 264_mix.wav: mix 2.5792, est 2.5393
utt 501_mix.wav: mix 1.1293, est 1.2630
utt 703_mix.wav: mix 1.1153, est 1.3986
utt 275_mix.wav: mix 1.1389, est 1.2028
utt 161_mix.wav: mix 1.0722, est 1.1678
utt 896_mix.wav: mix 1.0464, est 1.0737
utt 130_mix.wav: mix 1.2915, est 1.3592
utt 470_mix.wav: mix 1.1858, est 1.3098
utt 401_mix.wav: mix 1.4743, est 1.9395
utt 797_mix.wav: mix 1.6060, est 1.8819
utt 546_mix.wav: mix 1.2562, est 1.3382
utt 209_mix.wav: mix 1.9350, est 1.8073
utt 632_mix.wav: mix 1.1789, est 1.2902
utt 375_mix.wav: mix 1.0948, est 1.1609
utt 597_mix.wav: mix 1.3222, est 1.4432
utt 273_mix.wav: mix 2.6653, est 2.4444
utt 145_mix.wav: mix 1.8013, est 2.2196
utt 442_mix.wav: mix 1.3078, est 1.3065
utt 436_mix.wav: mix 1.0411, est 1.0758
utt 169_mix.wav: mix 1.1209, est 1.3336
utt 566_mix.wav: mix 1.3519, est 1.9398
utt 102_mix.wav: mix 1.0677, est 1.3624
utt 610_mix.wav: mix 2.0851, est 2.2534
utt 938_mix.wav: mix 1.2370, est 1.6904
utt 201_mix.wav: mix 1.0571, est 1.3359
utt 289_mix.wav: mix 1.1581, est 1.3189
utt 640_mix.wav: mix 1.1172, est 1.3003
utt 576_mix.wav: mix 1.2262, est 1.6472
utt 850_mix.wav: mix 1.8743, est 2.1010
utt 875_mix.wav: mix 1.0407, est 1.2001
utt 497_mix.wav: mix 1.1958, est 1.3303
utt 605_mix.wav: mix 1.1361, est 1.2439
utt 244_mix.wav: mix 1.0949, est 1.2168
utt 508_mix.wav: mix 2.0959, est 1.9682
utt 912_mix.wav: mix 1.2238, est 1.3875
utt 993_mix.wav: mix 1.1390, est 1.6069
utt 195_mix.wav: mix 1.5796, est 1.7769
utt 245_mix.wav: mix 1.0864, est 1.2615
utt 580_mix.wav: mix 3.4898, est 2.5717
utt 457_mix.wav: mix 1.2468, est 1.2568
utt 563_mix.wav: mix 1.2756, est 1.7443
utt 444_mix.wav: mix 1.2185, est 1.3155
utt 997_mix.wav: mix 1.3732, est 1.5433
utt 657_mix.wav: mix 1.5081, est 1.7357
utt 253_mix.wav: mix 1.4201, est 1.6982
utt 72_mix.wav: mix 1.0907, est 1.1742
utt 26_mix.wav: mix 1.2839, est 1.6725
utt 977_mix.wav: mix 1.9184, est 1.6377
utt 389_mix.wav: mix 1.4492, est 1.6379
utt 705_mix.wav: mix 1.4713, est 1.6493
utt 638_mix.wav: mix 1.9573, est 2.0999
utt 197_mix.wav: mix 1.0798, est 1.2572
utt 318_mix.wav: mix 1.0909, est 1.1306
utt 552_mix.wav: mix 1.2714, est 1.4791
utt 402_mix.wav: mix 1.9459, est 1.9981
utt 79_mix.wav: mix 1.9853, est 2.0211
utt 811_mix.wav: mix 1.3831, est 1.6831
utt 247_mix.wav: mix 1.1290, est 1.2313
utt 784_mix.wav: mix 1.3216, est 1.4442
utt 100_mix.wav: mix 1.1323, est 1.6957
utt 370_mix.wav: mix 1.2758, est 1.8191
utt 741_mix.wav: mix 1.0951, est 1.2117
utt 391_mix.wav: mix 1.2930, est 1.5972
utt 999_mix.wav: mix 1.7334, est 1.7619
utt 748_mix.wav: mix 1.4673, est 1.6881
utt 18_mix.wav: mix 1.0365, est 1.1124
utt 128_mix.wav: mix 1.1009, est 1.3074
utt 222_mix.wav: mix 1.1247, est 1.4720
utt 908_mix.wav: mix 1.0988, est 1.2539
utt 611_mix.wav: mix 3.4285, est 2.8718
utt 105_mix.wav: mix 1.0574, est 1.1806
utt 832_mix.wav: mix 1.3899, est 1.6254
utt 486_mix.wav: mix 1.0262, est 1.0396
utt 567_mix.wav: mix 1.5915, est 1.5475
utt 301_mix.wav: mix 1.2418, est 1.7845
utt 872_mix.wav: mix 1.2406, est 1.3354
utt 41_mix.wav: mix 1.3921, est 1.6556
utt 609_mix.wav: mix 1.1835, est 1.1918
utt 331_mix.wav: mix 2.1200, est 2.2835
utt 531_mix.wav: mix 1.0503, est 1.0879
utt 600_mix.wav: mix 1.1092, est 1.2637
utt 695_mix.wav: mix 1.4557, est 1.7370
utt 713_mix.wav: mix 1.3403, est 1.5846
utt 762_mix.wav: mix 1.2106, est 1.5321
utt 185_mix.wav: mix 1.6011, est 1.6887
utt 767_mix.wav: mix 1.1392, est 1.5073
utt 424_mix.wav: mix 1.5510, est 1.6213
utt 990_mix.wav: mix 1.2582, est 1.3550
utt 35_mix.wav: mix 2.1296, est 2.4129
utt 379_mix.wav: mix 1.3530, est 1.5386
utt 144_mix.wav: mix 1.4446, est 1.5039
utt 141_mix.wav: mix 1.2824, est 1.3509
utt 364_mix.wav: mix 2.0510, est 1.6159
utt 199_mix.wav: mix 1.9819, est 2.0211
utt 175_mix.wav: mix 1.3848, est 1.7127
utt 682_mix.wav: mix 1.0615, est 1.1527
utt 805_mix.wav: mix 1.3217, est 1.4830
utt 414_mix.wav: mix 1.9349, est 1.9812
utt 901_mix.wav: mix 1.3434, est 1.5458
utt 360_mix.wav: mix 1.6668, est 1.6988
utt 826_mix.wav: mix 1.4484, est 1.7564
utt 927_mix.wav: mix 1.3873, est 1.8166
utt 351_mix.wav: mix 1.0692, est 1.1755
utt 950_mix.wav: mix 1.3886, est 1.7037
utt 697_mix.wav: mix 1.1494, est 1.3571
utt 44_mix.wav: mix 1.3647, est 1.8231
utt 59_mix.wav: mix 1.3402, est 1.6571
utt 926_mix.wav: mix 2.8226, est 1.0874
utt 316_mix.wav: mix 1.9941, est 2.3309
utt 672_mix.wav: mix 2.9784, est 2.8415
utt 906_mix.wav: mix 1.1333, est 1.3056
utt 505_mix.wav: mix 1.2987, est 1.5655
utt 263_mix.wav: mix 1.8429, est 2.1009
utt 366_mix.wav: mix 2.4665, est 2.5162
utt 866_mix.wav: mix 1.0294, est 1.2436
utt 683_mix.wav: mix 1.0783, est 1.0763
utt 257_mix.wav: mix 1.2044, est 1.3573
utt 810_mix.wav: mix 1.0681, est 1.1231
utt 104_mix.wav: mix 1.3099, est 1.1317
utt 617_mix.wav: mix 1.4106, est 1.7011
utt 917_mix.wav: mix 1.3679, est 1.4263
utt 574_mix.wav: mix 1.7486, est 1.7889
utt 706_mix.wav: mix 1.0366, est 1.1155
utt 260_mix.wav: mix 2.2035, est 2.1536
utt 719_mix.wav: mix 1.1129, est 1.2085
utt 56_mix.wav: mix 1.4621, est 1.7908
utt 864_mix.wav: mix 1.0395, est 1.1172
utt 248_mix.wav: mix 1.3854, est 1.4813
utt 361_mix.wav: mix 1.2052, est 1.5084
utt 4_mix.wav: mix 1.3466, est 1.5766
utt 373_mix.wav: mix 1.0940, est 1.2821
utt 835_mix.wav: mix 1.4126, est 1.6767
utt 408_mix.wav: mix 1.1938, est 1.2207
utt 5_mix.wav: mix 1.3971, est 1.3946
utt 334_mix.wav: mix 1.0762, est 1.2075
utt 71_mix.wav: mix 1.0323, est 1.0964
utt 93_mix.wav: mix 1.0334, est 1.1774
utt 684_mix.wav: mix 1.1069, est 1.3056
utt 333_mix.wav: mix 1.0772, est 1.1774
utt 606_mix.wav: mix 1.4014, est 1.4198
utt 557_mix.wav: mix 1.4189, est 1.4732
utt 980_mix.wav: mix 1.0741, est 1.1628
utt 973_mix.wav: mix 1.3175, est 1.2263
utt 520_mix.wav: mix 1.1681, est 1.3817
utt 894_mix.wav: mix 1.0833, est 1.1891
utt 292_mix.wav: mix 1.2067, est 1.4657
utt 493_mix.wav: mix 1.1176, est 1.4428
utt 881_mix.wav: mix 1.3247, est 1.4375
utt 981_mix.wav: mix 1.1523, est 1.6466
utt 527_mix.wav: mix 1.1503, est 1.3398
utt 564_mix.wav: mix 1.0951, est 1.3517
utt 840_mix.wav: mix 1.1207, est 1.2299
utt 809_mix.wav: mix 1.3874, est 1.6169
utt 12_mix.wav: mix 1.3505, est 1.5682
utt 182_mix.wav: mix 1.1382, est 1.3690
utt 284_mix.wav: mix 3.9171, est 3.2331
utt 55_mix.wav: mix 1.6381, est 2.0301
utt 445_mix.wav: mix 1.3207, est 1.4882
utt 116_mix.wav: mix 1.9923, est 2.1602
utt 728_mix.wav: mix 2.5896, est 2.5713
utt 86_mix.wav: mix 1.3586, est 1.6386
utt 294_mix.wav: mix 1.7397, est 1.9447
utt 954_mix.wav: mix 1.5696, est 1.9162
utt 32_mix.wav: mix 1.2845, est 1.3219
utt 171_mix.wav: mix 1.4927, est 1.7076
utt 340_mix.wav: mix 1.2274, est 1.5860
utt 492_mix.wav: mix 1.1504, est 1.3478
utt 595_mix.wav: mix 2.0111, est 2.7359
utt 922_mix.wav: mix 1.0727, est 1.1234
utt 696_mix.wav: mix 2.5183, est 2.7852
utt 620_mix.wav: mix 1.2319, est 1.2214
utt 302_mix.wav: mix 1.1772, est 1.3189
utt 841_mix.wav: mix 1.5453, est 1.8928
utt 798_mix.wav: mix 1.0942, est 1.4174
utt 325_mix.wav: mix 1.1084, est 1.2448
utt 270_mix.wav: mix 4.6439, est 2.9802
utt 423_mix.wav: mix 1.0894, est 1.1918
utt 419_mix.wav: mix 1.4370, est 1.6821
utt 211_mix.wav: mix 2.0130, est 2.4676
utt 240_mix.wav: mix 4.6439, est 2.7513
utt 648_mix.wav: mix 1.0723, est 1.1785
utt 25_mix.wav: mix 1.3969, est 1.5947
utt 559_mix.wav: mix 1.1009, est 1.2720
utt 965_mix.wav: mix 1.9120, est 2.5882
utt 985_mix.wav: mix 1.1514, est 1.3266
utt 346_mix.wav: mix 1.4398, est 1.6564
utt 967_mix.wav: mix 1.9194, est 2.2273
utt 196_mix.wav: mix 1.3053, est 1.3613
utt 36_mix.wav: mix 1.1853, est 1.3883
utt 658_mix.wav: mix 1.2762, est 1.6965
utt 830_mix.wav: mix 1.4746, est 1.9176
utt 666_mix.wav: mix 1.0790, est 1.2428
utt 367_mix.wav: mix 1.1725, est 1.2842
utt 533_mix.wav: mix 2.2222, est 2.4410
utt 636_mix.wav: mix 1.7129, est 2.1108
utt 523_mix.wav: mix 1.2272, est 1.4743
utt 793_mix.wav: mix 1.2986, est 1.2063
utt 225_mix.wav: mix 1.1037, est 1.1731
utt 3_mix.wav: mix 1.0498, est 1.1168
utt 551_mix.wav: mix 1.2178, est 1.4286
utt 680_mix.wav: mix 1.4826, est 1.9610
utt 92_mix.wav: mix 2.2256, est 2.4764
utt 400_mix.wav: mix 1.1927, est 1.2299
utt 200_mix.wav: mix 2.2707, est 1.8395
utt 971_mix.wav: mix 1.1470, est 1.2867
utt 848_mix.wav: mix 1.2256, est 1.5006
utt 183_mix.wav: mix 1.2217, est 1.2144
utt 545_mix.wav: mix 1.2960, est 2.1214
utt 468_mix.wav: mix 1.1348, est 1.1999
utt 235_mix.wav: mix 1.0611, est 1.1711
utt 878_mix.wav: mix 1.4416, est 1.5929
utt 731_mix.wav: mix 1.3428, est 1.5011
utt 387_mix.wav: mix 1.4670, est 1.4408
utt 204_mix.wav: mix 1.1959, est 1.2842
utt 371_mix.wav: mix 1.0894, est 1.1017
utt 287_mix.wav: mix 1.5562, est 1.6970
utt 586_mix.wav: mix 2.0289, est 1.7950
utt 768_mix.wav: mix 1.1785, est 1.2707
utt 365_mix.wav: mix 1.3344, est 1.5172
utt 577_mix.wav: mix 1.0760, est 1.0855
utt 23_mix.wav: mix 1.4362, est 1.5628
utt 306_mix.wav: mix 1.8097, est 2.0032
utt 503_mix.wav: mix 1.0985, est 1.1698
utt 560_mix.wav: mix 1.2337, est 1.3262
utt 622_mix.wav: mix 1.0768, est 1.5443
utt 661_mix.wav: mix 1.5413, est 1.6316
utt 122_mix.wav: mix 1.8492, est 1.9476
utt 795_mix.wav: mix 1.2306, est 1.4868
utt 646_mix.wav: mix 1.0750, est 1.1526
utt 243_mix.wav: mix 1.3751, est 1.4669
utt 732_mix.wav: mix 1.2429, est 1.4021
utt 291_mix.wav: mix 1.1274, est 1.3495
utt 403_mix.wav: mix 1.3141, est 1.5172
utt 633_mix.wav: mix 1.2803, est 1.6882
utt 740_mix.wav: mix 1.8860, est 2.1918
utt 822_mix.wav: mix 1.8664, est 1.9242
utt 496_mix.wav: mix 1.6323, est 2.1043
utt 83_mix.wav: mix 1.2253, est 1.3662
utt 246_mix.wav: mix 1.5468, est 1.8223
utt 591_mix.wav: mix 1.7547, est 1.8111
utt 262_mix.wav: mix 1.1260, est 1.5525
utt 709_mix.wav: mix 1.0506, est 1.1203
utt 7_mix.wav: mix 1.6273, est 1.5054
utt 862_mix.wav: mix 1.0403, est 1.0809
utt 482_mix.wav: mix 1.2994, est 1.7050
utt 418_mix.wav: mix 1.9349, est 2.1996
utt 153_mix.wav: mix 1.1588, est 1.3696
utt 34_mix.wav: mix 1.5143, est 2.0084
utt 390_mix.wav: mix 1.6413, est 1.8112
utt 953_mix.wav: mix 1.3802, est 1.6924
utt 550_mix.wav: mix 1.8922, est 2.0776
utt 1_mix.wav: mix 1.4171, est 1.7761
utt 562_mix.wav: mix 1.3510, est 1.5921
utt 821_mix.wav: mix 1.5085, est 1.5714
utt 324_mix.wav: mix 1.1484, est 1.4544
utt 946_mix.wav: mix 1.7292, est 1.7318
utt 909_mix.wav: mix 4.1647, est 3.0979
utt 481_mix.wav: mix 1.9388, est 1.7706
utt 377_mix.wav: mix 1.2922, est 1.4492
utt 624_mix.wav: mix 1.1236, est 1.2970
utt 453_mix.wav: mix 1.1211, est 1.2496
utt 343_mix.wav: mix 1.3002, est 1.5510
utt 126_mix.wav: mix 1.2070, est 1.3904
utt 61_mix.wav: mix 1.2598, est 1.3819
utt 951_mix.wav: mix 1.2261, est 1.4980
utt 385_mix.wav: mix 1.0483, est 1.1442
utt 393_mix.wav: mix 2.3964, est 2.5732
utt 19_mix.wav: mix 1.0494, est 1.2480
utt 226_mix.wav: mix 2.0287, est 2.2657
utt 74_mix.wav: mix 1.1089, est 1.1629
utt 737_mix.wav: mix 1.5854, est 1.7085
utt 412_mix.wav: mix 1.3937, est 1.6455
utt 772_mix.wav: mix 1.1682, est 1.4841
utt 405_mix.wav: mix 1.4611, est 1.5927
utt 526_mix.wav: mix 2.2480, est 2.3614
utt 203_mix.wav: mix 1.1237, est 1.4088
utt 556_mix.wav: mix 1.0711, est 1.1404
utt 52_mix.wav: mix 1.0619, est 1.1324
utt 601_mix.wav: mix 1.0746, est 1.1771
utt 994_mix.wav: mix 1.8912, est 2.0005
utt 283_mix.wav: mix 2.0715, est 2.3110
utt 38_mix.wav: mix 1.3867, est 1.7328
utt 529_mix.wav: mix 1.0923, est 1.1492
utt 193_mix.wav: mix 1.4951, est 1.8268
utt 411_mix.wav: mix 1.1099, est 1.4434
utt 555_mix.wav: mix 1.4322, est 1.8933
utt 221_mix.wav: mix 2.2680, est 1.9871
utt 166_mix.wav: mix 1.5695, est 1.7147
utt 0_mix.wav: mix 2.9358, est 2.2687
utt 416_mix.wav: mix 2.0874, est 1.9905
utt 300_mix.wav: mix 1.1817, est 1.2219
utt 914_mix.wav: mix 2.4408, est 2.4645
utt 81_mix.wav: mix 1.2175, est 1.3997
utt 304_mix.wav: mix 1.1103, est 1.3082
utt 755_mix.wav: mix 1.2386, est 1.3155
utt 802_mix.wav: mix 1.2122, est 1.5617
utt 239_mix.wav: mix 1.7353, est 1.7624
utt 17_mix.wav: mix 1.1794, est 1.2305
utt 421_mix.wav: mix 2.0412, est 1.5551
utt 272_mix.wav: mix 1.3325, est 1.6891
utt 929_mix.wav: mix 1.1084, est 1.2628
utt 957_mix.wav: mix 1.3697, est 1.5987
utt 616_mix.wav: mix 2.9911, est 2.6900
utt 942_mix.wav: mix 1.1280, est 1.2911
utt 321_mix.wav: mix 1.6228, est 1.8282
utt 743_mix.wav: mix 1.0696, est 1.3986
utt 537_mix.wav: mix 1.0868, est 1.2551
utt 154_mix.wav: mix 1.0357, est 1.1578
utt 462_mix.wav: mix 1.0473, est 1.1256
utt 815_mix.wav: mix 2.6630, est 2.1158
utt 549_mix.wav: mix 1.4362, est 1.7568
utt 491_mix.wav: mix 1.1877, est 1.5439
utt 818_mix.wav: mix 1.1445, est 1.1417
utt 788_mix.wav: mix 1.2402, est 1.6592
utt 650_mix.wav: mix 1.0723, est 1.2278
utt 184_mix.wav: mix 1.1741, est 1.3468
utt 944_mix.wav: mix 1.1891, est 1.2895
utt 780_mix.wav: mix 1.0655, est 1.0623
utt 329_mix.wav: mix 1.4116, est 1.5708
utt 837_mix.wav: mix 1.0872, est 1.1636
utt 232_mix.wav: mix 1.5559, est 1.8725
utt 978_mix.wav: mix 2.1150, est 2.3241
utt 752_mix.wav: mix 1.0237, est 1.1733
utt 628_mix.wav: mix 1.0443, est 1.2837
utt 593_mix.wav: mix 2.0412, est 2.0201
