utt 347_mix.wav: mix 11.1028, est 11.3774
utt 464_mix.wav: mix 9.4229, est 14.1063
utt 317_mix.wav: mix 0.9048, est 5.4560
utt 943_mix.wav: mix 0.7558, est 7.2002
utt 189_mix.wav: mix -2.9559, est 6.2748
utt 701_mix.wav: mix 109.0962, est 11.5419
utt 902_mix.wav: mix 10.9460, est 6.5111
utt 110_mix.wav: mix 7.6263, est 13.0689
utt 521_mix.wav: mix -0.0404, est 7.3593
utt 845_mix.wav: mix 7.0639, est 0.4922
utt 430_mix.wav: mix 11.6449, est 12.1413
utt 724_mix.wav: mix -0.6708, est 5.8692
utt 781_mix.wav: mix 11.3481, est 12.1227
utt 437_mix.wav: mix 6.1160, est 8.0465
utt 704_mix.wav: mix 5.2832, est 12.1842
utt 224_mix.wav: mix 8.9343, est 13.5179
utt 24_mix.wav: mix 5.8723, est 5.5765
utt 219_mix.wav: mix 1.3797, est 5.3398
utt 998_mix.wav: mix -4.7096, est 3.3480
utt 745_mix.wav: mix -3.2287, est 2.3177
utt 299_mix.wav: mix 0.5218, est 5.4047
utt 109_mix.wav: mix 8.5167, est 11.9269
utt 217_mix.wav: mix 11.8425, est 14.2605
utt 156_mix.wav: mix 9.3443, est 11.9828
utt 266_mix.wav: mix 5.1839, est 8.1041
utt 615_mix.wav: mix 11.6657, est 13.8271
utt 87_mix.wav: mix -0.5293, est 5.1208
utt 138_mix.wav: mix 13.3886, est 14.4012
utt 626_mix.wav: mix 9.8516, est 9.9785
utt 771_mix.wav: mix -3.7638, est 2.2151
utt 923_mix.wav: mix 12.9707, est 13.0534
utt 519_mix.wav: mix 8.9528, est 11.7488
utt 787_mix.wav: mix 4.8915, est 9.7601
utt 143_mix.wav: mix 2.8209, est 8.2822
utt 742_mix.wav: mix 6.8340, est 13.8741
utt 790_mix.wav: mix 11.5596, est 12.5276
utt 813_mix.wav: mix -4.9089, est 6.0181
utt 874_mix.wav: mix 0.1176, est 4.6592
utt 480_mix.wav: mix 0.4416, est 5.6647
utt 10_mix.wav: mix 14.7805, est 15.8964
utt 397_mix.wav: mix 13.2340, est 14.2948
utt 510_mix.wav: mix 6.4394, est 9.4198
utt 350_mix.wav: mix -0.3771, est 4.8628
utt 13_mix.wav: mix -4.3102, est 5.5236
utt 777_mix.wav: mix -0.8580, est 8.0901
utt 602_mix.wav: mix -2.3522, est 6.5996
utt 413_mix.wav: mix -3.2824, est 12.8208
utt 770_mix.wav: mix -2.4255, est 4.5844
utt 756_mix.wav: mix 7.5039, est 11.8103
utt 319_mix.wav: mix 3.3155, est 7.1973
utt 608_mix.wav: mix -2.1967, est 3.7638
utt 786_mix.wav: mix 8.3525, est 11.4000
utt 735_mix.wav: mix 2.3772, est 5.0564
utt 58_mix.wav: mix 6.3594, est 10.9280
utt 674_mix.wav: mix 7.3638, est 4.5131
utt 369_mix.wav: mix 12.5188, est 12.9665
utt 191_mix.wav: mix 0.0231, est 2.7988
utt 873_mix.wav: mix 9.9865, est 13.2011
utt 315_mix.wav: mix 11.3282, est 12.6846
utt 833_mix.wav: mix 12.7897, est 14.5789
utt 757_mix.wav: mix -4.4442, est -0.0665
utt 311_mix.wav: mix -0.4835, est 6.1349
utt 500_mix.wav: mix 2.4328, est 5.8100
utt 8_mix.wav: mix 9.9399, est 11.8985
utt 511_mix.wav: mix -3.3772, est 6.3950
utt 277_mix.wav: mix -3.8735, est 4.7459
utt 596_mix.wav: mix 1.0965, est 8.9685
utt 681_mix.wav: mix 10.0161, est 13.6595
utt 70_mix.wav: mix 6.0570, est 11.9655
utt 639_mix.wav: mix 2.8276, est 5.7064
utt 803_mix.wav: mix -0.2961, est 4.3883
utt 618_mix.wav: mix -4.0127, est 6.1007
utt 404_mix.wav: mix 3.5277, est 7.3501
utt 509_mix.wav: mix 12.4627, est 12.5692
utt 227_mix.wav: mix 112.6110, est 15.5143
utt 214_mix.wav: mix 9.6470, est 12.5404
utt 692_mix.wav: mix 5.4276, est 6.9204
utt 383_mix.wav: mix 12.6799, est 12.3409
utt 335_mix.wav: mix 4.0403, est 6.4422
utt 101_mix.wav: mix -0.1227, est 5.7385
utt 698_mix.wav: mix 1.0883, est 8.7719
utt 484_mix.wav: mix -2.0486, est 4.6152
utt 149_mix.wav: mix 1.3108, est 7.5390
utt 216_mix.wav: mix -0.2515, est 6.1824
utt 323_mix.wav: mix -0.3255, est 5.1882
utt 578_mix.wav: mix 12.6687, est 13.7091
utt 669_mix.wav: mix 13.5711, est 12.9040
utt 700_mix.wav: mix 14.1269, est 15.2083
utt 791_mix.wav: mix 4.5929, est 11.2411
utt 761_mix.wav: mix 4.8239, est 5.4184
utt 664_mix.wav: mix -2.5426, est 3.4098
utt 966_mix.wav: mix 4.0929, est 7.2366
utt 534_mix.wav: mix 13.2360, est 12.1638
utt 131_mix.wav: mix 12.7778, est 11.6876
utt 960_mix.wav: mix 4.0334, est 5.4965
utt 903_mix.wav: mix -0.3893, est 4.4700
utt 443_mix.wav: mix 6.7598, est 12.6780
utt 174_mix.wav: mix 12.5524, est 15.7232
utt 905_mix.wav: mix -3.3592, est 6.8896
utt 16_mix.wav: mix 2.7628, est 11.0767
utt 764_mix.wav: mix 8.0138, est 11.8585
utt 173_mix.wav: mix 14.6165, est 13.3956
utt 727_mix.wav: mix 1.1873, est 9.8315
utt 458_mix.wav: mix 7.8168, est 10.8818
utt 974_mix.wav: mix -4.4872, est 3.6408
utt 261_mix.wav: mix -3.8249, est 4.4774
utt 477_mix.wav: mix 1.9412, est 7.6893
utt 738_mix.wav: mix 0.6216, est 5.2299
utt 937_mix.wav: mix -2.5940, est 6.5587
utt 585_mix.wav: mix 13.6373, est 12.2018
utt 187_mix.wav: mix -2.0605, est 5.0107
utt 710_mix.wav: mix -3.9922, est 3.2041
utt 718_mix.wav: mix 4.7820, est 8.6415
utt 267_mix.wav: mix -3.6527, est 3.1863
utt 49_mix.wav: mix 5.3697, est 10.0937
utt 349_mix.wav: mix 13.2717, est 14.1826
utt 103_mix.wav: mix 3.2117, est 11.4063
utt 515_mix.wav: mix -2.9321, est 7.2373
utt 307_mix.wav: mix 7.8545, est 10.8443
utt 136_mix.wav: mix 1.9635, est 6.8823
utt 353_mix.wav: mix 8.1476, est 10.4302
utt 180_mix.wav: mix 13.5837, est 11.9834
utt 782_mix.wav: mix -1.0493, est 3.8785
utt 447_mix.wav: mix 11.0923, est 12.0504
utt 561_mix.wav: mix 6.1258, est 10.0675
utt 869_mix.wav: mix 9.6538, est 11.5485
utt 469_mix.wav: mix 2.3904, est 8.2449
utt 919_mix.wav: mix 4.2430, est 7.8490
utt 150_mix.wav: mix 0.0754, est 4.2871
utt 330_mix.wav: mix 0.9696, est 5.3249
utt 987_mix.wav: mix -0.9708, est 4.8478
utt 594_mix.wav: mix 4.0097, est 9.9994
utt 655_mix.wav: mix 14.7621, est 13.6306
utt 598_mix.wav: mix -4.6454, est 3.0706
utt 434_mix.wav: mix 0.9627, est 7.1354
utt 715_mix.wav: mix 2.1229, est 7.8399
utt 303_mix.wav: mix -1.7728, est 4.0011
utt 234_mix.wav: mix 8.8002, est 10.8132
utt 749_mix.wav: mix 4.3231, est 11.6427
utt 847_mix.wav: mix -0.0729, est 5.4150
utt 754_mix.wav: mix -2.6075, est 6.5744
utt 78_mix.wav: mix 9.6852, est 13.1024
utt 118_mix.wav: mix -1.5585, est 10.3697
utt 525_mix.wav: mix 1.8740, est 11.1132
utt 865_mix.wav: mix 111.5241, est 16.2728
utt 849_mix.wav: mix 5.9611, est 14.0271
utt 671_mix.wav: mix 13.0347, est 13.7398
utt 471_mix.wav: mix 4.9869, est 9.9793
utt 238_mix.wav: mix 11.1055, est 14.3325
utt 176_mix.wav: mix -4.4727, est -0.9484
utt 293_mix.wav: mix 10.5073, est 11.0340
utt 194_mix.wav: mix 6.2128, est 9.9291
utt 868_mix.wav: mix 5.2333, est 9.4259
utt 829_mix.wav: mix -2.7472, est 7.3519
utt 426_mix.wav: mix 108.4641, est 10.8927
utt 146_mix.wav: mix 7.9307, est 11.9054
utt 856_mix.wav: mix 7.9364, est 10.8131
utt 264_mix.wav: mix 14.5674, est 12.4031
utt 501_mix.wav: mix -1.1140, est 3.8619
utt 703_mix.wav: mix 6.1801, est 8.5639
utt 275_mix.wav: mix -0.4270, est 4.3608
utt 161_mix.wav: mix 6.3122, est 9.4902
utt 896_mix.wav: mix -4.8976, est 2.5071
utt 130_mix.wav: mix 0.0728, est 3.7779
utt 470_mix.wav: mix 5.2564, est 10.2835
utt 401_mix.wav: mix 10.1481, est 14.5644
utt 797_mix.wav: mix 11.1900, est 10.4140
utt 546_mix.wav: mix 3.5842, est 5.6409
utt 209_mix.wav: mix 14.2936, est 14.8117
utt 632_mix.wav: mix 0.2236, est 5.0276
utt 375_mix.wav: mix -4.8160, est 3.4126
utt 597_mix.wav: mix 8.3255, est 11.6024
utt 273_mix.wav: mix 13.7552, est 15.0384
utt 145_mix.wav: mix 12.0796, est 11.7711
utt 442_mix.wav: mix 8.0541, est 6.7384
utt 436_mix.wav: mix -0.3849, est 6.1428
utt 169_mix.wav: mix 9.8298, est 13.5002
utt 566_mix.wav: mix 8.0119, est 11.9383
utt 102_mix.wav: mix 8.7878, est 7.2713
utt 610_mix.wav: mix 13.6291, est 15.4022
utt 938_mix.wav: mix 5.7937, est 9.4393
utt 201_mix.wav: mix -3.3601, est 5.0859
utt 289_mix.wav: mix 6.6387, est 10.1581
utt 640_mix.wav: mix 3.0911, est 8.0797
utt 576_mix.wav: mix 12.0062, est 12.9032
utt 850_mix.wav: mix 13.5419, est 11.1640
utt 875_mix.wav: mix 8.3049, est 10.5721
utt 497_mix.wav: mix 1.8256, est 7.4452
utt 605_mix.wav: mix 3.1124, est 7.2874
utt 244_mix.wav: mix -4.2770, est 3.6668
utt 508_mix.wav: mix 9.1112, est 9.4452
utt 912_mix.wav: mix 5.0335, est 8.0398
utt 993_mix.wav: mix -2.9295, est 5.6260
utt 195_mix.wav: mix 14.5657, est 14.8566
utt 245_mix.wav: mix -0.7232, est 6.5996
utt 580_mix.wav: mix 13.6633, est 14.4339
utt 457_mix.wav: mix 10.0341, est 8.9191
utt 563_mix.wav: mix 12.9385, est 11.2753
utt 444_mix.wav: mix 0.5455, est 7.2881
utt 997_mix.wav: mix 6.0068, est 9.8115
utt 657_mix.wav: mix 4.5801, est 7.3869
utt 253_mix.wav: mix 9.9802, est 11.7107
utt 72_mix.wav: mix -2.8465, est 0.9376
utt 26_mix.wav: mix 3.2700, est 8.9613
utt 977_mix.wav: mix 13.1749, est 14.4654
utt 389_mix.wav: mix 11.7102, est 12.3515
utt 705_mix.wav: mix 4.1564, est 11.2843
utt 638_mix.wav: mix 12.5899, est 13.3488
utt 197_mix.wav: mix 0.6630, est 8.8093
utt 318_mix.wav: mix 0.7737, est 8.7590
utt 552_mix.wav: mix 7.5511, est 11.6686
utt 402_mix.wav: mix 11.2909, est 11.5538
utt 79_mix.wav: mix 14.0122, est 10.1979
utt 811_mix.wav: mix 5.4910, est 8.7001
utt 247_mix.wav: mix 1.2129, est 7.5142
utt 784_mix.wav: mix 2.5864, est 9.2461
utt 100_mix.wav: mix -2.2099, est 8.9542
utt 370_mix.wav: mix 14.6624, est 11.8169
utt 741_mix.wav: mix -2.1871, est 7.9224
utt 391_mix.wav: mix 7.0254, est 10.0465
utt 999_mix.wav: mix 6.2344, est 10.0056
utt 748_mix.wav: mix 8.3157, est 11.1431
utt 18_mix.wav: mix -0.9159, est 5.6549
utt 128_mix.wav: mix -0.3841, est 5.7984
utt 222_mix.wav: mix 3.9602, est 7.6014
utt 908_mix.wav: mix 9.3045, est 11.4000
utt 611_mix.wav: mix 10.8944, est 15.1484
utt 105_mix.wav: mix -1.1404, est 5.4612
utt 832_mix.wav: mix 7.9871, est 10.5054
utt 486_mix.wav: mix -3.3165, est 3.6170
utt 567_mix.wav: mix 6.0142, est 8.7686
utt 301_mix.wav: mix 6.5359, est 11.3002
utt 872_mix.wav: mix 0.6235, est 4.6784
utt 41_mix.wav: mix 9.4702, est 11.5264
utt 609_mix.wav: mix 5.1473, est 12.6074
utt 331_mix.wav: mix 8.2503, est 9.8838
utt 531_mix.wav: mix -4.2809, est 4.4295
utt 600_mix.wav: mix -2.0977, est 9.3558
utt 695_mix.wav: mix 11.6311, est 12.9301
utt 713_mix.wav: mix 8.2516, est 13.6121
utt 762_mix.wav: mix 5.9119, est 9.9709
utt 185_mix.wav: mix 14.8515, est 12.8610
utt 767_mix.wav: mix 4.4545, est 8.2788
utt 424_mix.wav: mix 2.6477, est 3.9142
utt 990_mix.wav: mix 6.1650, est 9.4577
utt 35_mix.wav: mix 8.3984, est 11.4387
utt 379_mix.wav: mix 4.2715, est 7.9178
utt 144_mix.wav: mix 7.4630, est 11.2619
utt 141_mix.wav: mix 0.4107, est 3.3492
utt 364_mix.wav: mix 6.2686, est 11.8307
utt 199_mix.wav: mix 9.5433, est 8.2563
utt 175_mix.wav: mix 4.8099, est 11.5437
utt 682_mix.wav: mix -3.0445, est 4.3221
utt 805_mix.wav: mix 2.6559, est 5.6228
utt 414_mix.wav: mix 11.7238, est 12.6992
utt 901_mix.wav: mix 6.8514, est 7.9196
utt 360_mix.wav: mix 14.4784, est 14.5830
utt 826_mix.wav: mix 12.9660, est 12.8110
utt 927_mix.wav: mix 4.1456, est 10.2158
utt 351_mix.wav: mix 0.0818, est 5.2755
utt 950_mix.wav: mix 9.2277, est 10.0800
utt 697_mix.wav: mix 7.5857, est 10.9263
utt 44_mix.wav: mix 6.1192, est 12.5974
utt 59_mix.wav: mix 5.3676, est 7.0695
utt 926_mix.wav: mix -4.2795, est 1.3490
utt 316_mix.wav: mix 12.8370, est 11.8315
utt 672_mix.wav: mix -0.2242, est 10.2912
utt 906_mix.wav: mix 8.1450, est 11.7167
utt 505_mix.wav: mix 8.7938, est 12.4682
utt 263_mix.wav: mix 12.6592, est 11.3921
utt 366_mix.wav: mix 13.5792, est 12.5248
utt 866_mix.wav: mix 0.6319, est 6.7603
utt 683_mix.wav: mix 0.8606, est 5.2532
utt 257_mix.wav: mix 3.5094, est 5.8219
utt 810_mix.wav: mix -3.0964, est 3.2432
utt 104_mix.wav: mix -2.5021, est 4.6175
utt 617_mix.wav: mix 8.8435, est 10.9985
utt 917_mix.wav: mix 2.5456, est 6.4018
utt 574_mix.wav: mix 6.0620, est 8.8327
utt 706_mix.wav: mix 1.3912, est 6.0182
utt 260_mix.wav: mix 12.6620, est 11.5422
utt 719_mix.wav: mix -0.1320, est 5.5493
utt 56_mix.wav: mix 14.9786, est 13.5333
utt 864_mix.wav: mix -4.9294, est 3.3079
utt 248_mix.wav: mix 6.8969, est 11.3830
utt 361_mix.wav: mix 3.7507, est 9.0779
utt 4_mix.wav: mix 7.2795, est 10.4064
utt 373_mix.wav: mix -1.2930, est 6.0881
utt 835_mix.wav: mix 0.9819, est 8.9103
utt 408_mix.wav: mix 2.8789, est 11.3658
utt 5_mix.wav: mix 4.0907, est 8.7001
utt 334_mix.wav: mix 4.5847, est 8.6185
utt 71_mix.wav: mix -4.9748, est 3.6171
utt 93_mix.wav: mix -1.3962, est 4.8664
utt 684_mix.wav: mix 7.1555, est 11.6317
utt 333_mix.wav: mix 2.9308, est 8.5048
utt 606_mix.wav: mix 1.4838, est 5.2909
utt 557_mix.wav: mix -4.0673, est 2.9871
utt 980_mix.wav: mix 5.0877, est 7.6546
utt 973_mix.wav: mix 1.7380, est 6.9194
utt 520_mix.wav: mix 5.0121, est 8.8449
utt 894_mix.wav: mix -1.8855, est 5.1957
utt 292_mix.wav: mix 6.1509, est 10.1539
utt 493_mix.wav: mix -3.7097, est 5.5390
utt 881_mix.wav: mix 4.8982, est 7.3088
utt 981_mix.wav: mix 2.9461, est 12.7200
utt 527_mix.wav: mix 6.0331, est 8.7957
utt 564_mix.wav: mix 2.1186, est 6.0424
utt 840_mix.wav: mix 4.4728, est 8.3333
utt 809_mix.wav: mix 7.1822, est 10.2080
utt 12_mix.wav: mix 3.0488, est 6.3896
utt 182_mix.wav: mix 1.6136, est 7.2418
utt 284_mix.wav: mix 14.5955, est 12.3921
utt 55_mix.wav: mix 10.3314, est 10.5648
utt 445_mix.wav: mix 1.5143, est 7.8955
utt 116_mix.wav: mix 14.7695, est 14.0132
utt 728_mix.wav: mix 8.8644, est 15.3255
utt 86_mix.wav: mix 11.4459, est 11.2433
utt 294_mix.wav: mix 13.7455, est 13.5415
utt 954_mix.wav: mix 5.6038, est 9.6779
utt 32_mix.wav: mix 9.6778, est 12.2614
utt 171_mix.wav: mix 10.1564, est 12.6913
utt 340_mix.wav: mix 9.5634, est 11.3700
utt 492_mix.wav: mix 6.6332, est 11.0451
utt 595_mix.wav: mix 11.1704, est 13.2352
utt 922_mix.wav: mix 1.3046, est 4.7262
utt 696_mix.wav: mix 13.9033, est 12.6968
utt 620_mix.wav: mix -0.0969, est 5.9635
utt 302_mix.wav: mix 1.3198, est 6.5319
utt 841_mix.wav: mix 10.8214, est 12.6617
utt 798_mix.wav: mix 0.9816, est 9.3503
utt 325_mix.wav: mix -1.4911, est 4.7750
utt 270_mix.wav: mix 107.6981, est 15.6031
utt 423_mix.wav: mix 2.9382, est 6.6494
utt 419_mix.wav: mix 12.8752, est 11.4100
utt 211_mix.wav: mix 8.6677, est 13.7021
utt 240_mix.wav: mix 108.8098, est 14.3718
utt 648_mix.wav: mix -0.1596, est 7.9082
utt 25_mix.wav: mix 14.8203, est 11.6343
utt 559_mix.wav: mix -4.9145, est 0.0342
utt 965_mix.wav: mix 2.4784, est 9.6853
utt 985_mix.wav: mix 4.2429, est 8.3948
utt 346_mix.wav: mix 11.5055, est 11.2573
utt 967_mix.wav: mix 14.3444, est 11.6628
utt 196_mix.wav: mix 0.5361, est 4.7672
utt 36_mix.wav: mix 1.6153, est 5.3256
utt 658_mix.wav: mix 9.3005, est 12.0470
utt 830_mix.wav: mix 8.3474, est 11.8683
utt 666_mix.wav: mix 8.7121, est 11.1520
utt 367_mix.wav: mix 2.8940, est 4.5573
utt 533_mix.wav: mix 11.1487, est 9.3318
utt 636_mix.wav: mix 14.5550, est 10.7770
utt 523_mix.wav: mix 6.7024, est 11.8966
utt 793_mix.wav: mix -4.6717, est -1.6126
utt 225_mix.wav: mix -4.6265, est 2.0158
utt 3_mix.wav: mix -3.7544, est 2.3549
utt 551_mix.wav: mix 0.8208, est 11.1080
utt 680_mix.wav: mix 12.1390, est 13.4597
utt 92_mix.wav: mix 10.2509, est 15.0870
utt 400_mix.wav: mix -0.5777, est 4.2936
utt 200_mix.wav: mix -0.3448, est 10.8661
utt 971_mix.wav: mix -1.8093, est 3.8063
utt 848_mix.wav: mix 3.8665, est 9.1616
utt 183_mix.wav: mix -3.6555, est 5.2895
utt 545_mix.wav: mix 13.9228, est 14.2363
utt 468_mix.wav: mix -3.9524, est 5.6802
utt 235_mix.wav: mix -3.6572, est 5.2442
utt 878_mix.wav: mix 9.4964, est 6.4280
utt 731_mix.wav: mix 12.0306, est 8.4016
utt 387_mix.wav: mix 5.4733, est 13.0269
utt 204_mix.wav: mix 3.1226, est 5.4526
utt 371_mix.wav: mix -3.4950, est 7.2851
utt 287_mix.wav: mix 8.5728, est 13.1346
utt 586_mix.wav: mix 3.3942, est 12.7484
utt 768_mix.wav: mix 2.5462, est 6.4890
utt 365_mix.wav: mix 2.3765, est 7.9458
utt 577_mix.wav: mix -3.0394, est 2.0801
utt 23_mix.wav: mix 4.3229, est 9.0651
utt 306_mix.wav: mix 11.2812, est 10.4428
utt 503_mix.wav: mix -3.1499, est 6.3848
utt 560_mix.wav: mix 9.4986, est 11.9804
utt 622_mix.wav: mix 1.8858, est 9.9408
utt 661_mix.wav: mix 8.8858, est 10.6968
utt 122_mix.wav: mix 9.1189, est 12.9330
utt 795_mix.wav: mix 7.8482, est 12.3453
utt 646_mix.wav: mix 3.1982, est 7.4814
utt 243_mix.wav: mix 12.3097, est 12.3516
utt 732_mix.wav: mix 11.2050, est 9.5981
utt 291_mix.wav: mix 6.1419, est 8.2606
utt 403_mix.wav: mix 14.1953, est 14.8378
utt 633_mix.wav: mix 6.4395, est 9.4918
utt 740_mix.wav: mix 14.4923, est 11.5529
utt 822_mix.wav: mix 14.7449, est 7.7113
utt 496_mix.wav: mix 7.4440, est 12.7516
utt 83_mix.wav: mix -4.8302, est 5.6750
utt 246_mix.wav: mix 5.0627, est 11.0220
utt 591_mix.wav: mix 13.0792, est 8.1147
utt 262_mix.wav: mix 6.9665, est 12.8331
utt 709_mix.wav: mix -3.1434, est 2.2401
utt 7_mix.wav: mix 10.3352, est 9.4811
utt 862_mix.wav: mix -4.6823, est 4.7406
utt 482_mix.wav: mix 10.8949, est 12.1867
utt 418_mix.wav: mix 10.4544, est 12.2630
utt 153_mix.wav: mix 8.9898, est 10.0808
utt 34_mix.wav: mix 12.7287, est 13.7432
utt 390_mix.wav: mix 0.7441, est 6.3945
utt 953_mix.wav: mix -4.6337, est 6.5301
utt 550_mix.wav: mix 12.9007, est 14.7207
utt 1_mix.wav: mix 9.9791, est 12.8050
utt 562_mix.wav: mix 14.9693, est 12.0244
utt 821_mix.wav: mix 9.8151, est 8.6066
utt 324_mix.wav: mix -0.8395, est 7.0208
utt 946_mix.wav: mix 4.6119, est 10.1047
utt 909_mix.wav: mix 14.0626, est 12.1087
utt 481_mix.wav: mix 14.7896, est 10.8406
utt 377_mix.wav: mix 9.8344, est 10.8593
utt 624_mix.wav: mix 0.7350, est 8.9457
utt 453_mix.wav: mix 2.5070, est 9.3835
utt 343_mix.wav: mix 0.4078, est 11.2698
utt 126_mix.wav: mix 11.3642, est 10.9117
utt 61_mix.wav: mix 3.6580, est 6.3896
utt 951_mix.wav: mix 9.4103, est 10.3554
utt 385_mix.wav: mix -3.4631, est 3.7761
utt 393_mix.wav: mix 6.8201, est 11.8535
utt 19_mix.wav: mix 0.1958, est 6.6941
utt 226_mix.wav: mix 7.3946, est 10.7621
utt 74_mix.wav: mix -2.5971, est 4.4902
utt 737_mix.wav: mix 13.4475, est 12.2684
utt 412_mix.wav: mix 10.2821, est 11.2826
utt 772_mix.wav: mix -0.3551, est 8.0301
utt 405_mix.wav: mix 8.2717, est 9.7815
utt 526_mix.wav: mix 6.4711, est 10.5321
utt 203_mix.wav: mix -2.5829, est 7.0368
utt 556_mix.wav: mix 3.1394, est 6.3907
utt 52_mix.wav: mix -4.0088, est 4.8863
utt 601_mix.wav: mix 5.3287, est 9.6820
utt 994_mix.wav: mix 12.0523, est 12.4305
utt 283_mix.wav: mix 4.9829, est 11.5360
utt 38_mix.wav: mix 11.1115, est 12.3004
utt 529_mix.wav: mix -4.1324, est 3.4710
utt 193_mix.wav: mix 12.9123, est 12.5822
utt 411_mix.wav: mix 1.4786, est 8.5739
utt 555_mix.wav: mix 10.4406, est 10.6173
utt 221_mix.wav: mix 4.7281, est 6.5074
utt 166_mix.wav: mix 12.3842, est 13.3182
utt 0_mix.wav: mix 1.4661, est 11.8606
utt 416_mix.wav: mix 14.2880, est 12.6243
utt 300_mix.wav: mix 6.5309, est 8.5553
utt 914_mix.wav: mix 13.7251, est 15.5781
utt 81_mix.wav: mix 1.5628, est 6.7752
utt 304_mix.wav: mix -1.0604, est 5.3195
utt 755_mix.wav: mix 6.6066, est 8.9704
utt 802_mix.wav: mix 4.6513, est 7.8625
utt 239_mix.wav: mix 5.7203, est 9.2438
utt 17_mix.wav: mix -4.1705, est 1.2370
utt 421_mix.wav: mix 12.5357, est 8.8860
utt 272_mix.wav: mix 6.2575, est 11.0566
utt 929_mix.wav: mix 2.4439, est 7.8201
utt 957_mix.wav: mix 5.5892, est 9.0150
utt 616_mix.wav: mix 14.6237, est 16.7975
utt 942_mix.wav: mix 7.0617, est 11.4862
utt 321_mix.wav: mix 4.9424, est 10.8758
utt 743_mix.wav: mix -1.1343, est 5.5947
utt 537_mix.wav: mix -3.0384, est 6.9922
utt 154_mix.wav: mix -2.6148, est 6.5405
utt 462_mix.wav: mix -0.0261, est 7.3109
utt 815_mix.wav: mix 10.3766, est 11.3335
utt 549_mix.wav: mix 4.7962, est 8.5876
utt 491_mix.wav: mix 3.2867, est 9.9772
utt 818_mix.wav: mix 4.4912, est 4.5294
utt 788_mix.wav: mix 6.9466, est 10.7625
utt 650_mix.wav: mix 5.0905, est 9.1962
utt 184_mix.wav: mix 3.1881, est 7.3185
utt 944_mix.wav: mix 0.8772, est 4.6185
utt 780_mix.wav: mix -4.5144, est -0.3131
utt 329_mix.wav: mix 5.2276, est 8.3607
utt 837_mix.wav: mix -1.0392, est 8.4098
utt 232_mix.wav: mix 13.0612, est 12.7742
utt 978_mix.wav: mix 14.4081, est 8.9804
utt 752_mix.wav: mix -4.6740, est 6.7860
utt 628_mix.wav: mix -0.7860, est 4.4605
utt 593_mix.wav: mix 14.4788, est 14.4754
