utt 347_mix.wav: mix 0.9380, est 0.9324
utt 626_mix.wav: mix 0.8722, est 0.8377
utt 771_mix.wav: mix 0.7535, est 0.7747
utt 923_mix.wav: mix 0.9617, est 0.9537
utt 519_mix.wav: mix 0.8832, est 0.9059
utt 787_mix.wav: mix 0.8525, est 0.8860
utt 143_mix.wav: mix 0.7934, est 0.8388
utt 742_mix.wav: mix 0.7949, est 0.7594
utt 790_mix.wav: mix 0.9476, est 0.9520
utt 813_mix.wav: mix 0.7787, est 0.7942
utt 874_mix.wav: mix 0.8256, est 0.8317
utt 480_mix.wav: mix 0.8795, est 0.8774
utt 10_mix.wav: mix 0.9716, est 0.9609
utt 397_mix.wav: mix 0.9168, est 0.9365
utt 510_mix.wav: mix 0.9223, est 0.9408
utt 350_mix.wav: mix 0.8746, est 0.8669
utt 13_mix.wav: mix 0.7674, est 0.7903
utt 777_mix.wav: mix 0.9265, est 0.8811
utt 602_mix.wav: mix 0.7545, est 0.8117
utt 413_mix.wav: mix 0.8810, est 0.8930
utt 770_mix.wav: mix 0.7754, est 0.8437
utt 756_mix.wav: mix 0.8991, est 0.9013
utt 319_mix.wav: mix 0.8361, est 0.8675
utt 608_mix.wav: mix 0.6351, est 0.6288
utt 786_mix.wav: mix 0.9270, est 0.9261
utt 735_mix.wav: mix 0.9225, est 0.9206
utt 58_mix.wav: mix 0.9341, est 0.9491
utt 674_mix.wav: mix 0.8206, est 0.8344
utt 369_mix.wav: mix 0.9081, est 0.9151
utt 191_mix.wav: mix 0.8756, est 0.8505
utt 873_mix.wav: mix 0.9616, est 0.9583
utt 315_mix.wav: mix 0.9171, est 0.9289
utt 833_mix.wav: mix 0.8983, est 0.9105
utt 757_mix.wav: mix 0.6458, est 0.5919
utt 311_mix.wav: mix 0.8490, est 0.8102
utt 500_mix.wav: mix 0.7766, est 0.7960
utt 8_mix.wav: mix 0.9085, est 0.9323
utt 511_mix.wav: mix 0.6549, est 0.6855
utt 277_mix.wav: mix 0.6376, est 0.6828
utt 596_mix.wav: mix 0.8344, est 0.8775
utt 681_mix.wav: mix 0.9396, est 0.9238
utt 70_mix.wav: mix 0.8322, est 0.8306
utt 639_mix.wav: mix 0.7688, est 0.7682
utt 803_mix.wav: mix 0.7910, est 0.8193
utt 618_mix.wav: mix 0.8926, est 0.8847
utt 404_mix.wav: mix 0.8471, est 0.8542
utt 509_mix.wav: mix 0.9418, est 0.9366
utt 227_mix.wav: mix 1.0000, est 0.9718
utt 214_mix.wav: mix 0.9662, est 0.9618
utt 692_mix.wav: mix 0.9283, est 0.9378
utt 383_mix.wav: mix 0.8261, est 0.7989
utt 335_mix.wav: mix 0.9109, est 0.8995
utt 101_mix.wav: mix 0.7375, est 0.7619
utt 698_mix.wav: mix 0.8702, est 0.8760
utt 484_mix.wav: mix 0.7723, est 0.7469
utt 149_mix.wav: mix 0.7607, est 0.8013
utt 216_mix.wav: mix 0.6764, est 0.7269
utt 323_mix.wav: mix 0.7635, est 0.8017
utt 578_mix.wav: mix 0.9192, est 0.9110
utt 669_mix.wav: mix 0.9322, est 0.9436
utt 700_mix.wav: mix 0.9898, est 0.9787
utt 791_mix.wav: mix 0.8775, est 0.8980
utt 761_mix.wav: mix 0.8653, est 0.8871
utt 664_mix.wav: mix 0.5466, est 0.6321
utt 966_mix.wav: mix 0.7390, est 0.8010
utt 534_mix.wav: mix 0.9444, est 0.9476
utt 131_mix.wav: mix 0.7958, est 0.7541
utt 960_mix.wav: mix 0.8056, est 0.8080
utt 903_mix.wav: mix 0.8229, est 0.8401
utt 443_mix.wav: mix 0.9962, est 0.9916
utt 174_mix.wav: mix 0.9499, est 0.9481
utt 905_mix.wav: mix 0.6668, est 0.6703
utt 16_mix.wav: mix 0.8537, est 0.8603
utt 764_mix.wav: mix 0.8617, est 0.8910
utt 173_mix.wav: mix 0.9667, est 0.9632
utt 727_mix.wav: mix 0.9304, est 0.9298
utt 458_mix.wav: mix 0.8880, est 0.9017
utt 974_mix.wav: mix 0.6276, est 0.6292
utt 261_mix.wav: mix 0.7680, est 0.8066
utt 477_mix.wav: mix 0.6860, est 0.7456
utt 738_mix.wav: mix 0.7590, est 0.7760
utt 937_mix.wav: mix 0.6585, est 0.7262
utt 585_mix.wav: mix 0.8276, est 0.8139
utt 187_mix.wav: mix 0.7374, est 0.7793
utt 710_mix.wav: mix 0.8318, est 0.8437
utt 718_mix.wav: mix 0.9276, est 0.9244
utt 267_mix.wav: mix 0.6217, est 0.6626
utt 49_mix.wav: mix 0.8688, est 0.8888
utt 349_mix.wav: mix 0.9515, est 0.9433
utt 103_mix.wav: mix 0.9196, est 0.9328
utt 515_mix.wav: mix 0.7543, est 0.8294
utt 307_mix.wav: mix 0.8546, est 0.8889
utt 136_mix.wav: mix 0.8473, est 0.8550
utt 353_mix.wav: mix 0.9578, est 0.9639
utt 180_mix.wav: mix 0.9565, est 0.9529
utt 782_mix.wav: mix 0.7389, est 0.7508
utt 447_mix.wav: mix 0.8778, est 0.8753
utt 561_mix.wav: mix 0.9244, est 0.9385
utt 869_mix.wav: mix 0.9444, est 0.9385
utt 469_mix.wav: mix 0.8428, est 0.8764
utt 919_mix.wav: mix 0.6701, est 0.6581
utt 150_mix.wav: mix 0.8792, est 0.8649
utt 330_mix.wav: mix 0.7625, est 0.8085
utt 987_mix.wav: mix 0.6070, est 0.6368
utt 594_mix.wav: mix 0.9090, est 0.8846
utt 655_mix.wav: mix 0.9159, est 0.9012
utt 598_mix.wav: mix 0.7193, est 0.7618
utt 434_mix.wav: mix 0.8226, est 0.8107
utt 715_mix.wav: mix 0.7958, est 0.8184
utt 303_mix.wav: mix 0.8769, est 0.8606
utt 234_mix.wav: mix 0.8652, est 0.8764
utt 749_mix.wav: mix 0.8872, est 0.8907
utt 847_mix.wav: mix 0.6091, est 0.6373
utt 754_mix.wav: mix 0.5527, est 0.6427
utt 78_mix.wav: mix 0.8525, est 0.8720
utt 118_mix.wav: mix 0.9566, est 0.9556
utt 525_mix.wav: mix 0.8509, est 0.8676
utt 865_mix.wav: mix 1.0000, est 0.9851
utt 849_mix.wav: mix 0.9832, est 0.9693
utt 671_mix.wav: mix 0.9811, est 0.9781
utt 471_mix.wav: mix 0.8340, est 0.8283
utt 238_mix.wav: mix 0.9421, est 0.9519
utt 176_mix.wav: mix 0.8651, est 0.8777
utt 293_mix.wav: mix 0.8970, est 0.9187
utt 194_mix.wav: mix 0.9574, est 0.9344
utt 868_mix.wav: mix 0.8170, est 0.8404
utt 829_mix.wav: mix 0.9835, est 0.9562
utt 426_mix.wav: mix 1.0000, est 0.9755
utt 146_mix.wav: mix 0.9226, est 0.9415
utt 856_mix.wav: mix 0.7039, est 0.7606
utt 264_mix.wav: mix 0.9701, est 0.9562
utt 501_mix.wav: mix 0.7800, est 0.7957
utt 703_mix.wav: mix 0.7418, est 0.7319
utt 275_mix.wav: mix 0.7964, est 0.7707
utt 161_mix.wav: mix 0.9020, est 0.9031
utt 896_mix.wav: mix 0.7109, est 0.7315
utt 130_mix.wav: mix 0.9252, est 0.8590
utt 470_mix.wav: mix 0.8399, est 0.8683
utt 401_mix.wav: mix 0.9475, est 0.9596
utt 797_mix.wav: mix 0.9553, est 0.9529
utt 546_mix.wav: mix 0.7946, est 0.8616
utt 209_mix.wav: mix 0.9913, est 0.9743
utt 632_mix.wav: mix 0.8774, est 0.8589
utt 375_mix.wav: mix 0.6193, est 0.6619
utt 597_mix.wav: mix 0.9156, est 0.9282
utt 273_mix.wav: mix 0.9834, est 0.9768
utt 145_mix.wav: mix 0.9360, est 0.9500
utt 442_mix.wav: mix 0.8953, est 0.8941
utt 436_mix.wav: mix 0.7282, est 0.7697
utt 169_mix.wav: mix 0.8795, est 0.8904
utt 566_mix.wav: mix 0.8430, est 0.8854
utt 102_mix.wav: mix 0.9460, est 0.9328
utt 610_mix.wav: mix 0.9815, est 0.9750
utt 938_mix.wav: mix 0.8813, est 0.8948
utt 201_mix.wav: mix 0.7514, est 0.7757
utt 289_mix.wav: mix 0.8365, est 0.8388
utt 640_mix.wav: mix 0.8200, est 0.8534
utt 576_mix.wav: mix 0.8975, est 0.9237
utt 850_mix.wav: mix 0.9489, est 0.9264
utt 875_mix.wav: mix 0.8843, est 0.9103
utt 497_mix.wav: mix 0.8660, est 0.8710
utt 605_mix.wav: mix 0.8641, est 0.8766
utt 244_mix.wav: mix 0.7118, est 0.7172
utt 508_mix.wav: mix 0.8090, est 0.7676
utt 912_mix.wav: mix 0.8765, est 0.8957
utt 993_mix.wav: mix 0.9740, est 0.9630
utt 195_mix.wav: mix 0.9664, est 0.9393
utt 245_mix.wav: mix 0.7394, est 0.6982
utt 580_mix.wav: mix 0.9994, est 0.9848
utt 457_mix.wav: mix 0.7571, est 0.7551
utt 563_mix.wav: mix 0.7094, est 0.6790
utt 444_mix.wav: mix 0.8327, est 0.8783
utt 997_mix.wav: mix 0.8241, est 0.8297
utt 657_mix.wav: mix 0.9173, est 0.9203
utt 253_mix.wav: mix 0.9309, est 0.9439
utt 72_mix.wav: mix 0.6965, est 0.6816
utt 26_mix.wav: mix 0.9628, est 0.9595
utt 977_mix.wav: mix 0.8447, est 0.8307
utt 389_mix.wav: mix 0.8789, est 0.8886
utt 705_mix.wav: mix 0.7884, est 0.8097
utt 638_mix.wav: mix 0.8813, est 0.8814
utt 197_mix.wav: mix 0.8624, est 0.8845
utt 318_mix.wav: mix 0.7107, est 0.6965
utt 552_mix.wav: mix 0.7878, est 0.8322
utt 402_mix.wav: mix 0.9736, est 0.9652
utt 79_mix.wav: mix 0.9534, est 0.9341
utt 811_mix.wav: mix 0.8819, est 0.8952
utt 247_mix.wav: mix 0.7679, est 0.8200
utt 784_mix.wav: mix 0.7495, est 0.7589
utt 100_mix.wav: mix 0.6658, est 0.7135
utt 370_mix.wav: mix 0.9778, est 0.9167
utt 741_mix.wav: mix 0.8005, est 0.8444
utt 391_mix.wav: mix 0.8810, est 0.8847
utt 999_mix.wav: mix 0.8639, est 0.8747
utt 748_mix.wav: mix 0.9314, est 0.9134
utt 18_mix.wav: mix 0.7032, est 0.7115
utt 128_mix.wav: mix 0.7915, est 0.8136
utt 222_mix.wav: mix 0.8601, est 0.8839
utt 908_mix.wav: mix 0.9310, est 0.9363
utt 611_mix.wav: mix 0.9974, est 0.9734
utt 105_mix.wav: mix 0.7314, est 0.7633
utt 832_mix.wav: mix 0.9183, est 0.9168
utt 486_mix.wav: mix 0.5788, est 0.6035
utt 567_mix.wav: mix 0.8944, est 0.9075
utt 301_mix.wav: mix 0.9752, est 0.9585
utt 872_mix.wav: mix 0.7868, est 0.8037
utt 41_mix.wav: mix 0.9233, est 0.9444
utt 609_mix.wav: mix 0.6343, est 0.6512
utt 331_mix.wav: mix 0.8431, est 0.8284
utt 531_mix.wav: mix 0.5454, est 0.6148
utt 600_mix.wav: mix 0.8217, est 0.8308
utt 695_mix.wav: mix 0.9663, est 0.9680
utt 713_mix.wav: mix 0.9321, est 0.9277
utt 762_mix.wav: mix 0.9200, est 0.9277
utt 185_mix.wav: mix 0.9219, est 0.9238
utt 767_mix.wav: mix 0.8333, est 0.8881
utt 424_mix.wav: mix 0.8900, est 0.8766
utt 990_mix.wav: mix 0.8001, est 0.7956
utt 35_mix.wav: mix 0.9794, est 0.9678
utt 379_mix.wav: mix 0.9036, est 0.8972
utt 144_mix.wav: mix 0.8435, est 0.8264
utt 141_mix.wav: mix 0.7580, est 0.7486
utt 364_mix.wav: mix 0.9954, est 0.9802
utt 199_mix.wav: mix 0.9498, est 0.9161
utt 175_mix.wav: mix 0.9617, est 0.9650
utt 682_mix.wav: mix 0.6190, est 0.7255
utt 805_mix.wav: mix 0.9087, est 0.8884
utt 414_mix.wav: mix 0.9607, est 0.9605
utt 901_mix.wav: mix 0.9082, est 0.9061
utt 360_mix.wav: mix 0.9639, est 0.9518
utt 826_mix.wav: mix 0.9551, est 0.9543
utt 927_mix.wav: mix 0.9497, est 0.9519
utt 351_mix.wav: mix 0.7709, est 0.7810
utt 950_mix.wav: mix 0.8987, est 0.8376
utt 697_mix.wav: mix 0.8159, est 0.8286
utt 44_mix.wav: mix 0.9235, est 0.9081
utt 59_mix.wav: mix 0.8584, est 0.8721
utt 926_mix.wav: mix 0.6811, est 0.6088
utt 316_mix.wav: mix 0.9574, est 0.9626
utt 672_mix.wav: mix 0.9983, est 0.9406
utt 906_mix.wav: mix 0.8752, est 0.8680
utt 505_mix.wav: mix 0.9789, est 0.9703
utt 263_mix.wav: mix 0.9634, est 0.9605
utt 366_mix.wav: mix 0.9789, est 0.9770
utt 866_mix.wav: mix 0.7962, est 0.7801
utt 683_mix.wav: mix 0.5913, est 0.5979
utt 257_mix.wav: mix 0.6767, est 0.7411
utt 810_mix.wav: mix 0.6604, est 0.6817
utt 104_mix.wav: mix 0.5534, est 0.5829
utt 617_mix.wav: mix 0.7958, est 0.8118
utt 917_mix.wav: mix 0.8039, est 0.8289
utt 574_mix.wav: mix 0.9635, est 0.9260
utt 706_mix.wav: mix 0.6109, est 0.6356
utt 260_mix.wav: mix 0.9632, est 0.9482
utt 719_mix.wav: mix 0.8049, est 0.8399
utt 56_mix.wav: mix 0.9504, est 0.9550
utt 864_mix.wav: mix 0.5554, est 0.6270
utt 248_mix.wav: mix 0.9024, est 0.9065
utt 361_mix.wav: mix 0.9227, est 0.9336
utt 4_mix.wav: mix 0.9205, est 0.9358
utt 373_mix.wav: mix 0.7775, est 0.8217
utt 835_mix.wav: mix 0.7432, est 0.7432
utt 408_mix.wav: mix 0.6788, est 0.7419
utt 5_mix.wav: mix 0.7936, est 0.8237
utt 334_mix.wav: mix 0.7911, est 0.8170
utt 71_mix.wav: mix 0.5754, est 0.6520
utt 93_mix.wav: mix 0.6434, est 0.7428
utt 684_mix.wav: mix 0.8157, est 0.8772
utt 333_mix.wav: mix 0.7475, est 0.7620
utt 606_mix.wav: mix 0.8537, est 0.8538
utt 557_mix.wav: mix 0.8947, est 0.8478
utt 980_mix.wav: mix 0.8273, est 0.8164
utt 973_mix.wav: mix 0.6758, est 0.7257
utt 520_mix.wav: mix 0.8540, est 0.9050
utt 894_mix.wav: mix 0.7894, est 0.8459
utt 292_mix.wav: mix 0.8685, est 0.8928
utt 493_mix.wav: mix 0.8327, est 0.8421
utt 881_mix.wav: mix 0.8896, est 0.9022
utt 981_mix.wav: mix 0.8934, est 0.8899
utt 527_mix.wav: mix 0.8280, est 0.8314
utt 564_mix.wav: mix 0.7219, est 0.7229
utt 840_mix.wav: mix 0.8547, est 0.8851
utt 809_mix.wav: mix 0.9155, est 0.9061
utt 12_mix.wav: mix 0.9063, est 0.9251
utt 182_mix.wav: mix 0.8857, est 0.8963
utt 284_mix.wav: mix 0.8850, est 0.8560
utt 55_mix.wav: mix 0.9492, est 0.9483
utt 445_mix.wav: mix 0.9124, est 0.9083
utt 116_mix.wav: mix 0.9706, est 0.9667
utt 728_mix.wav: mix 0.9951, est 0.9818
utt 86_mix.wav: mix 0.8982, est 0.8975
utt 294_mix.wav: mix 0.9519, est 0.9535
utt 954_mix.wav: mix 0.9472, est 0.9537
utt 32_mix.wav: mix 0.9067, est 0.9159
utt 171_mix.wav: mix 0.8488, est 0.8641
utt 340_mix.wav: mix 0.7666, est 0.7538
utt 492_mix.wav: mix 0.8904, est 0.9020
utt 595_mix.wav: mix 0.9848, est 0.9763
utt 922_mix.wav: mix 0.6721, est 0.6813
utt 696_mix.wav: mix 0.9931, est 0.9745
utt 620_mix.wav: mix 0.7873, est 0.7522
utt 302_mix.wav: mix 0.8351, est 0.8701
utt 841_mix.wav: mix 0.9606, est 0.9596
utt 798_mix.wav: mix 0.7594, est 0.8059
utt 325_mix.wav: mix 0.7165, est 0.7411
utt 270_mix.wav: mix 1.0000, est 0.9717
utt 423_mix.wav: mix 0.8207, est 0.8244
utt 419_mix.wav: mix 0.9621, est 0.9551
utt 211_mix.wav: mix 0.9973, est 0.9897
utt 240_mix.wav: mix 1.0000, est 0.9807
utt 648_mix.wav: mix 0.8117, est 0.8346
utt 25_mix.wav: mix 0.9009, est 0.8852
utt 559_mix.wav: mix 0.7506, est 0.7076
utt 965_mix.wav: mix 0.9739, est 0.9712
utt 985_mix.wav: mix 0.7435, est 0.7922
utt 346_mix.wav: mix 0.9252, est 0.9178
utt 967_mix.wav: mix 0.9354, est 0.9150
utt 196_mix.wav: mix 0.5567, est 0.5661
utt 36_mix.wav: mix 0.8330, est 0.8264
utt 658_mix.wav: mix 0.9109, est 0.9353
utt 830_mix.wav: mix 0.9700, est 0.9646
utt 666_mix.wav: mix 0.8311, est 0.7992
utt 367_mix.wav: mix 0.8972, est 0.9030
utt 533_mix.wav: mix 0.9439, est 0.9382
utt 636_mix.wav: mix 0.9456, est 0.9477
utt 523_mix.wav: mix 0.9217, est 0.9387
utt 793_mix.wav: mix 0.8297, est 0.7931
utt 225_mix.wav: mix 0.8036, est 0.7667
utt 3_mix.wav: mix 0.5141, est 0.5371
utt 551_mix.wav: mix 0.9065, est 0.9191
utt 680_mix.wav: mix 0.7846, est 0.8155
utt 92_mix.wav: mix 0.9953, est 0.9759
utt 400_mix.wav: mix 0.7852, est 0.7725
utt 200_mix.wav: mix 0.9171, est 0.9474
utt 971_mix.wav: mix 0.7125, est 0.7339
utt 848_mix.wav: mix 0.8964, est 0.9191
utt 183_mix.wav: mix 0.7381, est 0.7782
utt 545_mix.wav: mix 0.9733, est 0.9710
utt 468_mix.wav: mix 0.8553, est 0.8699
utt 235_mix.wav: mix 0.7719, est 0.8002
utt 878_mix.wav: mix 0.5578, est 0.5931
utt 731_mix.wav: mix 0.7421, est 0.7326
utt 387_mix.wav: mix 0.9353, est 0.9445
utt 204_mix.wav: mix 0.8876, est 0.8950
utt 371_mix.wav: mix 0.7004, est 0.7193
utt 287_mix.wav: mix 0.9090, est 0.9168
utt 586_mix.wav: mix 0.9918, est 0.9832
utt 768_mix.wav: mix 0.9507, est 0.9424
utt 365_mix.wav: mix 0.8157, est 0.8300
utt 577_mix.wav: mix 0.7136, est 0.7532
utt 23_mix.wav: mix 0.9292, est 0.9394
utt 306_mix.wav: mix 0.9047, est 0.8971
utt 503_mix.wav: mix 0.8002, est 0.8280
utt 560_mix.wav: mix 0.9424, est 0.9472
utt 622_mix.wav: mix 0.7115, est 0.7778
utt 661_mix.wav: mix 0.9278, est 0.9310
utt 122_mix.wav: mix 0.9133, est 0.9188
utt 795_mix.wav: mix 0.9748, est 0.9709
utt 646_mix.wav: mix 0.8067, est 0.8353
utt 243_mix.wav: mix 0.9719, est 0.9730
utt 732_mix.wav: mix 0.9645, est 0.9582
utt 291_mix.wav: mix 0.8554, est 0.8679
utt 403_mix.wav: mix 0.8601, est 0.9077
utt 633_mix.wav: mix 0.8805, est 0.9089
utt 740_mix.wav: mix 0.9736, est 0.9680
utt 822_mix.wav: mix 0.9521, est 0.9449
utt 496_mix.wav: mix 0.9447, est 0.8954
utt 83_mix.wav: mix 0.8810, est 0.8839
utt 246_mix.wav: mix 0.8075, est 0.7704
utt 591_mix.wav: mix 0.9033, est 0.9106
utt 262_mix.wav: mix 0.8469, est 0.8609
utt 709_mix.wav: mix 0.7059, est 0.7058
utt 7_mix.wav: mix 0.9415, est 0.9190
utt 862_mix.wav: mix 0.7696, est 0.7437
utt 482_mix.wav: mix 0.8911, est 0.8999
utt 418_mix.wav: mix 0.9822, est 0.9777
utt 153_mix.wav: mix 0.7993, est 0.8084
utt 34_mix.wav: mix 0.9586, est 0.9625
utt 390_mix.wav: mix 0.9555, est 0.9116
utt 953_mix.wav: mix 0.8910, est 0.9044
utt 550_mix.wav: mix 0.9761, est 0.9688
utt 1_mix.wav: mix 0.9370, est 0.9397
utt 562_mix.wav: mix 0.9012, est 0.8803
utt 821_mix.wav: mix 0.8773, est 0.8345
utt 324_mix.wav: mix 0.8953, est 0.8995
utt 946_mix.wav: mix 0.8832, est 0.8375
utt 909_mix.wav: mix 0.9986, est 0.9738
utt 481_mix.wav: mix 0.7487, est 0.5664
utt 377_mix.wav: mix 0.8336, est 0.8410
utt 624_mix.wav: mix 0.8597, est 0.8730
utt 453_mix.wav: mix 0.8149, est 0.8673
utt 343_mix.wav: mix 0.8596, est 0.9168
utt 126_mix.wav: mix 0.9002, est 0.9093
utt 61_mix.wav: mix 0.8364, est 0.8274
utt 951_mix.wav: mix 0.9266, est 0.9200
utt 385_mix.wav: mix 0.6796, est 0.7304
utt 393_mix.wav: mix 0.8106, est 0.7964
utt 19_mix.wav: mix 0.7051, est 0.7354
utt 226_mix.wav: mix 0.9224, est 0.9147
utt 74_mix.wav: mix 0.6726, est 0.6916
utt 737_mix.wav: mix 0.8058, est 0.7813
utt 412_mix.wav: mix 0.9185, est 0.9246
utt 772_mix.wav: mix 0.8888, est 0.9043
utt 405_mix.wav: mix 0.8835, est 0.8945
utt 526_mix.wav: mix 0.9812, est 0.9553
utt 203_mix.wav: mix 0.8190, est 0.8355
utt 556_mix.wav: mix 0.6753, est 0.7117
utt 52_mix.wav: mix 0.7841, est 0.8073
utt 601_mix.wav: mix 0.7746, est 0.7820
utt 994_mix.wav: mix 0.9017, est 0.9020
utt 283_mix.wav: mix 0.9887, est 0.9742
utt 38_mix.wav: mix 0.9600, est 0.9679
utt 529_mix.wav: mix 0.5408, est 0.5133
utt 193_mix.wav: mix 0.9264, est 0.9200
utt 411_mix.wav: mix 0.6828, est 0.7355
utt 555_mix.wav: mix 0.9041, est 0.9243
utt 221_mix.wav: mix 0.9676, est 0.9614
utt 166_mix.wav: mix 0.8908, est 0.8917
utt 0_mix.wav: mix 0.9985, est 0.9793
utt 416_mix.wav: mix 0.9724, est 0.9626
utt 300_mix.wav: mix 0.7959, est 0.8070
utt 914_mix.wav: mix 0.9961, est 0.9863
utt 81_mix.wav: mix 0.8324, est 0.8187
utt 304_mix.wav: mix 0.8082, est 0.8432
utt 755_mix.wav: mix 0.8770, est 0.8855
utt 802_mix.wav: mix 0.8428, est 0.8869
utt 239_mix.wav: mix 0.9788, est 0.9415
utt 17_mix.wav: mix 0.8123, est 0.7974
utt 421_mix.wav: mix 0.8291, est 0.7690
utt 272_mix.wav: mix 0.8483, est 0.8827
utt 929_mix.wav: mix 0.7571, est 0.7468
utt 957_mix.wav: mix 0.8136, est 0.7936
utt 616_mix.wav: mix 0.9880, est 0.9654
utt 942_mix.wav: mix 0.7766, est 0.8131
utt 321_mix.wav: mix 0.9233, est 0.9286
utt 743_mix.wav: mix 0.7540, est 0.8030
utt 537_mix.wav: mix 0.6561, est 0.6892
utt 154_mix.wav: mix 0.6505, est 0.7391
utt 462_mix.wav: mix 0.8347, est 0.8272
utt 815_mix.wav: mix 0.9736, est 0.9654
utt 549_mix.wav: mix 0.8472, est 0.8600
utt 491_mix.wav: mix 0.8493, est 0.8657
utt 818_mix.wav: mix 0.8651, est 0.8736
utt 788_mix.wav: mix 0.8672, est 0.8791
utt 650_mix.wav: mix 0.7841, est 0.7936
utt 184_mix.wav: mix 0.8548, est 0.8350
utt 944_mix.wav: mix 0.8120, est 0.8427
utt 780_mix.wav: mix 0.6831, est 0.6320
utt 329_mix.wav: mix 0.9332, est 0.9317
utt 837_mix.wav: mix 0.7336, est 0.7851
utt 232_mix.wav: mix 0.9853, est 0.9613
utt 978_mix.wav: mix 0.9484, est 0.9576
utt 752_mix.wav: mix 0.8193, est 0.8378
utt 628_mix.wav: mix 0.7885, est 0.8284
utt 593_mix.wav: mix 0.9723, est 0.9630
